druid-0,envoy-ls,tar,cold,330.13,325.39,324.85,323.66,315.3,324.45,313.12,330.53,332.53,324.72
druid-0,envoy-ls,tar,hot,73.47,76.68,76.52,79.51,79.22,74.96,79.7,78.41,79.86,76.66
druid-0,envoy-ls,rsync,cold,356.04,339.88,347.49,335.53,339.05,354.4,345.78,351.1,352.23,354.86
druid-0,envoy-ls,rsync,warm,129.58,127.69,128.96,126.66,134.93,131.91,125.81,130.21,127.93,126.38
druid-0,envoy-ls,rsync,hot,56.23,58.25,57.83,59.64,56.14,59.07,56.97,57.99,58.47,58.8
druid-0,envoy-ls,tar,warm,168.62,163.6,158.2,165.96,161.4,162.5,163.1,167.96,165.52,164.74
druid-0,envoy-ls,untar,reset,305.36,285.63,279.15,279.39,273.73,282.04,291.19,297.25,281.76,266.81
druid-1,envoy-ls,untar,reset,330.32,317.97,313.32,322.07,319.86,316.29,334.41,323.78,329.45,335.27
druid-1,envoy-ls,tar,cold,376.19,371.88,373.34,375.44,360.97,376.57,372.39,374.96,360.96,363.73
druid-1,envoy-ls,tar,warm,163.34,161.63,162.39,163.55,163.17,164.55,162.74,162.99,163.7,168.61
druid-1,envoy-ls,tar,hot,118.09,116.56,116.53,115.16,117.76,115.95,116.31,115.1,116.1,116.04
druid-1,envoy-ls,rsync,cold,369.25,383.41,368.43,383.11,374.6,377.05,391.66,390.46,393.83,388.14
druid-1,envoy-ls,rsync,warm,148.91,145.95,145.05,147.17,146.38,147.5,150.19,147.98,145.4,148.04
druid-1,envoy-ls,rsync,hot,81.98,82.09,80.74,83.13,80.02,81.01,82.83,81.69,80.68,83.98
skiing-0,envoy-ls,untar,reset,399.18,391.92,422.34,419.76,420.49,405.84,407.72,426.43,427.45,416.84
skiing-0,envoy-ls,tar,cold,436.21,434.11,445.48,433.57,437.39,443.09,430.79,442.56,446.68,452.64
skiing-0,envoy-ls,tar,warm,256.53,253.49,250.21,253.15,243.6,243.32,254.9,257.43,259.55,259.52
skiing-0,envoy-ls,tar,hot,199.72,192.95,197.18,185.54,199.85,196.95,186.31,197.52,185.47,184.45
skiing-0,envoy-ls,rsync,cold,440.39,433.7,430.99,442.39,432.6,419.25,412.62,424.6,430.21,423.92
skiing-0,envoy-ls,rsync,warm,194.18,196.39,197.64,192.87,193.02,197.97,190.08,192.81,193.56,188.11
skiing-0,envoy-ls,rsync,hot,135.93,128.79,130.1,137.98,135.85,131.79,131.87,129.31,135.54,129.2
skiing-1,envoy-ls,rsync,cold,408.79,405.1,410.2,403.08,410.15,409.98,407.69,410.78,403.69,420.21
skiing-1,envoy-ls,untar,reset,481.69,463.12,468.13,477.04,454.43,469.16,471.26,468.76,479.22,479.67
skiing-1,envoy-ls,tar,cold,467.36,465.56,483.5,471.87,469.36,484.5,483.17,471.79,478.66,494.23
skiing-1,envoy-ls,tar,warm,283.33,293.96,285.6,281.77,285.57,293.39,283.35,283.13,284.65,290.66
skiing-1,envoy-ls,tar,hot,222.87,225.41,218.51,225.15,238.35,225.11,226.17,223.2,221.21,234.13
skiing-1,envoy-ls,rsync,warm,213.76,214.14,213.8,213.71,215.72,212.73,214.26,215.23,217.9,216.72
skiing-1,envoy-ls,rsync,hot,156.09,154.88,154.96,154.81,155.15,156.52,154.3,156.49,156.82,154.04
druid-0,nfs,untar,reset,254.03,239.57,244.26,232.58,241.51,241.56,243.15,234.56,243.6,232.8
druid-0,nfs,tar,warm,438.79,437.29,437.77,436.52,437.17,436.97,435.36,436.71,436.06,436.54
druid-0,nfs,tar,hot,425.46,432.37,434.33,435.17,437.17,437.73,432.96,432.7,433.73,434.14
druid-0,nfs,rsync,warm,499.48,501.69,501.05,500.62,498.72,499.54,502.38,499.05,502.71,499.56
druid-0,nfs,rsync,hot,479.29,491.21,490.35,493.16,490.9,494.82,494.01,493.61,492.95,497.33
druid-1,nfs,untar,reset,269.46,270,269.63,268.1,268.37,266.94,266.88,268.72,268.01,267.25
druid-1,nfs,tar,warm,127.46,128.95,129.19,129,128.25,126.99,125.4,124.86,124.45,125.23
druid-1,nfs,tar,hot,104.17,97.59,97.26,97.33,97.47,96.93,96.73,96.77,96.84,96.58
druid-1,nfs,rsync,warm,221.8,217.92,218.71,218.51,220.56,223.31,219.54,221.45,222.43,223.74
druid-1,nfs,rsync,hot,191.89,171.19,174.72,171.02,172.66,172.05,170.63,174.42,172.2,174.06
skiing-0,nfs,untar,reset,274.23,278.63,278.16,275.05,274.22,275.03,277.82,278.92,275.16,278.02
skiing-0,nfs,tar,warm,116.03,115.72,115.22,114.77,116.8,115.58,118.25,117.32,117.77,118.08
skiing-0,nfs,tar,hot,81.99,83.23,84.47,83.37,81.83,83.24,83.65,82.13,83.98,84.12
skiing-0,nfs,rsync,warm,214.83,214.13,216.24,216.27,216.48,215.07,218.08,215.74,215.85,218.96
skiing-0,nfs,rsync,hot,168.12,169.14,169.89,169.13,168.91,167.3,166.64,169.91,169.57,167.6
skiing-1,nfs,untar,reset,275.17,275.26,275.72,275.22,275.27,275.06,275.07,275.59,275.66,275.18
skiing-1,nfs,tar,warm,118.67,119.42,119.01,118.6,119.97,118.8,118,117.57,117.64,118.15
skiing-1,nfs,tar,hot,82.95,83.4,83.24,83.08,82.77,83.14,82.92,83.05,83.16,83.06
skiing-1,nfs,rsync,warm,215.96,213.91,216.69,217.11,216.34,215.14,216.11,216,214.27,214.05
skiing-1,nfs,rsync,hot,168.49,168.34,167.25,167.96,167.45,167.47,167.46,167.31,168.53,168.3
druid-0,nfs,tar,hothot,455.12,455.28,454.78,454.4,455.25,454.63,454.08,460.71,445.68,444.71
druid-0,nfs,rsync,hothot,487,491.03,491.77,492.51,492.19,492.89,490.13,490.52,491.91,491.25
druid-1,nfs,tar,hothot,121.74,122.99,121.89,122.49,121.69,122.59,122.99,121.77,122.2,121.78
druid-1,nfs,rsync,hothot,165.02,162.75,161.87,163.71,164.74,163.21,161.47,160.98,162.57,164.81
skiing-0,nfs,rsync,hothothot,23.4,23.48,23.46,23.43,23.48,23.53,23.46,23.52,23.44,23.49
skiing-1,nfs,tar,hothot,105.56,105.24,105.4,105.31,104.5,103.79,103.62,103.43,103.71,103.51
skiing-1,nfs,rsync,hothot,150.46,150.76,150.05,149.67,149.83,150.81,150.64,150.18,150.42,150.28
skiing-0,nfs,tar,hothot,43.96,44.18,43.95,44.02,43.94,44.18,43.99,44.14,43.99,44.18
skiing-0,nfs,rsync,hothot,45.03,45.06,45.01,45.01,44.85,44.74,44.96,44.94,44.98,44.94
skiing-0,nfs,tar,hothothot,22.16,22.46,22.43,22.44,22.46,22.22,22.47,22.22,22.47,22.43
druid-0,nocache-ls,untar,reset,200.76,187.42,201.51,203.81,202,203.05,198.6,207.67,196.33,201.34
druid-0,nocache-ls,tar,warm,205.46,203.43,200.53,204.52,205.13,202.55,203.47,205.51,199.4,206.66
druid-0,nocache-ls,tar,hot,83.88,79.14,81.12,80.12,84.06,80.92,80.79,79.7,80.96,83.22
druid-0,nocache-ls,rsync,warm,141.16,133.97,133.09,136.16,138.32,137.79,132.66,133.94,137.3,134.71
druid-0,nocache-ls,rsync,hot,70.1,62.94,65.47,64.53,69.19,68.09,71.33,64.76,64.63,66.82
druid-1,nocache-ls,untar,reset,259.49,264.76,273.24,273.11,274.17,274.86,269.59,270.56,270.96,271.15
druid-1,nocache-ls,tar,warm,260.46,257.34,258.52,258.02,260.65,258.09,260.07,259.05,262.82,256.4
druid-1,nocache-ls,tar,hot,127.18,128.83,128.62,129.03,130.53,129.79,128.58,128.53,128,129.92
druid-1,nocache-ls,rsync,warm,168,168.3,169.36,167.02,166,168.64,169.69,166.73,177.45,166.41
druid-1,nocache-ls,rsync,hot,94.37,96.7,96.28,95.93,94.49,94.48,93.89,95.6,95.29,105.43
skiing-0,nocache-ls,untar,reset,366.65,359.69,364.76,359.3,360.9,366.62,361.33,361.29,371.49,366.74
skiing-0,nocache-ls,tar,warm,325.33,319.5,326.3,328.98,326.61,327.27,328.92,330.18,328.69,328.68
skiing-0,nocache-ls,tar,hot,205.7,197.33,204.33,207.88,201.82,206.22,201.4,202.82,203.09,204.2
skiing-0,nocache-ls,rsync,warm,207.58,211.65,210.59,215.48,212.69,213.18,210.32,212.81,212.26,209.33
skiing-0,nocache-ls,rsync,hot,142.55,143.06,141.89,143.87,142.46,141.79,144.25,145.44,142.96,145.18
skiing-1,nocache-ls,untar,reset,406.97,399.59,401.98,404.01,405.89,405.51,410.11,403.78,411.17,403.59
skiing-1,nocache-ls,tar,warm,352.32,355.37,352.94,356.26,351.15,352.34,356.17,354.71,354.36,365.92
skiing-1,nocache-ls,tar,hot,231.94,232.16,233.35,232.23,237.1,231.05,231.7,232,241.77,242.42
skiing-1,nocache-ls,rsync,warm,230.97,231.75,230.75,232.88,231.12,229.16,231.14,248.18,231.19,241.74
skiing-1,nocache-ls,rsync,hot,161.16,160.78,164.53,176.39,169.93,161.51,161.95,160.87,163.11,163.33
druid-0,npfs,untar,reset,92.38,97.41,93.79,89.91,95.72,91.04,91.31,92.19,94.82,97.45
druid-0,npfs,tar,warm,112.16,113.61,112.58,114.1,113.91,103.84,111.83,111.14,113.49,113.05
druid-0,npfs,tar,hot,64.97,67.17,65.06,66.28,65.72,62.98,64.41,66.96,63.04,64.49
druid-0,npfs,rsync,hot,46.11,46.21,44.62,48.92,47.03,44.22,45.3,42.12,43.49,45.78
druid-0,npfs,rsync,warm,110.4,111.81,128.03,105.15,110.34,109.53,107.45,110.94,106.85,114.27
druid-1,npfs,untar,reset,138.46,147.67,140.59,146.64,138.72,141.99,142.47,145.73,151.11,137.18
druid-1,npfs,tar,warm,136.74,138.65,136.84,137.75,148.22,136.94,137.71,138.62,137.9,138.12
druid-1,npfs,rsync,warm,120.23,122.08,121.82,122.25,123.12,123.06,123.27,122.61,123.29,122.19
druid-1,npfs,rsync,hot,59.51,69.38,68.86,70.23,65.07,70.07,68.69,68.68,70.57,65.06
druid-1,npfs,tar,hot,99.26,89.66,84.69,95.76,98.43,85.72,96.8,98.03,97.18,95.45
skiing-0,npfs,tar,warm,160.17,159.41,165.7,160.38,159.91,160.92,160.25,160.71,159.65,159.98
skiing-0,npfs,rsync,warm,133.48,133.91,138.46,134.66,138.15,136.21,133,138.41,136.64,134.24
skiing-0,npfs,untar,reset,205.77,202.22,204.14,194.62,194.9,206.02,210.42,208.75,200.95,192.53
skiing-0,npfs,tar,hot,133.09,134.53,148.94,134.9,146.42,147.74,136.04,146.35,133.62,145.81
skiing-0,npfs,rsync,hot,85.15,96.89,90.49,96.41,88.95,93.03,96.25,94.46,91.18,86.4
skiing-1,npfs,untar,reset,232.53,229.56,221.68,231.76,227.3,234.85,228.65,226.45,232.95,228.13
skiing-1,npfs,tar,warm,181.83,181.43,182.19,182.43,182.38,181.65,181.6,181.71,182.24,182.41
skiing-1,npfs,tar,hot,148.99,160.27,162.34,149.6,149.87,163.64,159.75,157.47,161.54,157.65
skiing-1,npfs,rsync,warm,145.17,145.25,146.29,145.03,145.1,144.79,145.32,145.71,146.12,146.15
skiing-1,npfs,rsync,hot,110.49,110.49,113.04,112.13,110.47,102.84,112.59,106.38,112.98,112.43
druid-0,envoy,untar,reset,219.77,215.03,214.16,208.85,218.54,212.33,214.07,224.44,219.21,210.64
druid-0,envoy,tar,cold,200.2,200.9,200.16,203.15,202.54,201.73,199.42,201.09,201.34,199.79
druid-0,envoy,tar,warm,127.61,119.38,118.7,130.35,121.13,114.3,122.27,128.74,128.02,130.17
druid-0,envoy,tar,hot,81.11,79.7,78.68,80.76,78.04,78.58,80.49,81.45,81.95,78.12
druid-0,envoy,rsync,cold,145.47,142.02,144.27,147.46,143.19,142.18,143.71,147.85,143.53,151.71
druid-0,envoy,rsync,warm,112.74,108,107.75,114.06,109.14,108.37,113.11,109.36,115.9,114.76
druid-0,envoy,rsync,hot,60.34,59.84,60.92,58.95,61.49,59.23,62.97,59.94,62.44,60.15
druid-1,envoy,untar,reset,278.84,274.46,271.46,277.65,275.75,278.93,277.6,277.23,279.88,272.96
druid-1,envoy,tar,cold,251.21,247.19,249.44,258.69,259.02,250.9,248.76,251.37,250.89,249.47
druid-1,envoy,tar,warm,153.71,153.29,155.2,152.58,152.2,149.1,149.78,151.42,151.76,150.68
druid-1,envoy,tar,hot,119.32,120.46,121.23,118.61,120.3,118.78,121.39,122.19,120.67,121.25
druid-1,envoy,rsync,cold,183.47,175.32,175.77,176.3,177.79,176.1,180.76,177.57,175.45,174.33
druid-1,envoy,rsync,warm,138,138.19,136.87,135.23,134.82,134.14,133.37,134.09,135.54,137.86
druid-1,envoy,rsync,hot,83.04,84.73,87.23,86.54,83.71,85.31,85.54,83.28,86.39,84.04
skiing-0,envoy,untar,reset,383.48,391.55,386.77,381.78,383.51,382.35,383.83,382.23,385.27,388.09
skiing-0,envoy,tar,cold,320.4,323.29,323.35,321.67,320.25,323.87,324.66,317.82,319.66,320.04
skiing-0,envoy,tar,warm,243.71,243.63,242.23,241.52,243.78,242.2,242.2,246.53,241.16,239.7
skiing-0,envoy,tar,hot,188.54,201.52,201.52,199.25,202.57,199.2,197.85,191.41,198.66,200.71
skiing-0,envoy,rsync,cold,224.77,224.06,222.04,227.74,230.33,223.03,217.44,218.18,222.99,220.88
skiing-0,envoy,rsync,warm,189.09,188.69,188.75,184.43,188.37,185.15,186.66,188.04,194.84,191.18
skiing-0,envoy,rsync,hot,139.5,134.53,134.83,133.84,138.2,137.55,138.79,135.74,132.64,137.85
skiing-1,envoy,untar,reset,423.81,419.53,416.64,425.76,421.99,424.92,420.45,422.47,418.7,422.3
skiing-1,envoy,tar,cold,353.14,355.46,351.63,353.01,355.32,354.76,352.65,351.38,351.5,355.5
skiing-1,envoy,tar,warm,281.88,270.65,274.37,272.39,274.24,275.84,283.11,273.21,274.27,271.06
skiing-1,envoy,tar,hot,225.44,225.15,227.23,228.84,225.02,226.49,224.41,229.21,226.42,227.52
skiing-1,envoy,rsync,cold,242.93,244.05,243.49,242.93,239.37,246.68,244.5,245.97,244.84,241.21
skiing-1,envoy,rsync,warm,209.83,208.72,209.1,206.85,207.91,206.5,207.29,207.94,211.64,210.93
skiing-1,envoy,rsync,hot,158.08,157.06,157.91,158.98,157,157.92,156.01,156.62,158.95,157.52
druid-0,nocache,untar,reset,208.32,204.38,206.07,197.66,204.57,196.81,200.59,201.77,204.36,203.3
druid-0,nocache,tar,warm,223.27,221.33,222.11,224.37,221.2,221.71,221.56,223.29,222,221.8
druid-0,nocache,tar,hot,151.55,119.21,114.77,100.56,101.05,103.81,95.88,95.04,99.44,95.99
druid-0,nocache,rsync,warm,136.75,138.81,136.71,138.22,136.07,139.22,137.35,139.9,135.67,139.07
druid-0,nocache,rsync,hot,108.34,94.88,84.87,78.67,80.43,75.06,72.61,73.35,76.19,73.68
druid-1,nocache,untar,reset,259.39,259,260.69,259.6,261.03,259.62,258.71,260.55,261.7,259.54
druid-1,nocache,tar,warm,277.06,266.99,271.03,271.1,267.73,268.7,267.2,269.08,270.82,268.66
druid-1,nocache,tar,hot,138.64,140.75,140.42,151.34,140.75,141.15,140.28,141.03,141.11,139.77
druid-1,nocache,rsync,warm,164.98,167.65,165.99,165.37,165.97,166.33,177.09,165.55,167.15,175.65
druid-1,nocache,rsync,hot,104.2,105.48,113.44,105.33,104.6,104.47,105.61,104.61,104.52,104.09
skiing-0,nocache,untar,reset,366.59,369.58,369.98,372.42,363.47,367.45,368.63,368.08,368.69,368.18
skiing-0,nocache,tar,warm,338.24,345.23,341.31,341.47,340.74,342.4,343.65,343.4,339.64,342.76
skiing-0,nocache,tar,hot,216.16,211.85,213.88,212.05,214.69,213.53,215.26,213.99,212.99,212.77
skiing-0,nocache,rsync,warm,217.05,214.72,212.84,215.63,213.86,214.43,215.47,216.23,212.1,216.38
skiing-0,nocache,rsync,hot,154.02,146.93,148.93,149.51,149.82,145.84,151.55,148.22,150.24,150.4
skiing-1,nocache,untar,reset,407.92,404.78,406.3,407.46,408.39,406.65,407.89,408.57,406.76,406.96
skiing-1,nocache,tar,warm,380.69,372.16,371.01,382.63,380.33,373,372.31,371.66,371.18,372.73
skiing-1,nocache,tar,hot,238.85,240,241.66,238.02,239.06,241.23,239,240.92,240.78,237.5
skiing-1,nocache,rsync,warm,245.42,236.57,235.23,236.57,236.24,237.45,236.89,236.52,236.11,235.5
skiing-1,nocache,rsync,hot,168.33,168.54,175.49,170.84,168.77,168.4,172.06,168.87,179.3,171.57
